mutants,BCbyrpoA
2743_dprA_T0,0.675642615
2743_dprA_T0,0.734418045
2743_dprA_T0,0.687473199
2743_dprA_T20,0.728822853
2743_dprA_T20,0.709458704
2743_dprA_T20,0.777559419
2743_dprA_T20_CSP,0.35036625
2743_dprA_T20_CSP,0.391192542
2743_dprA_T20_CSP,0.360829637
2743_dprA_T120,0.934009118
2743_dprA_T120,0.871169776
2743_dprA_T120,0.74548233
2743_dprA_T120_CSP,0.752327918
2743_dprA_T120_CSP,0.82654415
2743_dprA_T120_CSP,0.679067588
2743_dprA_T0,0.503797431
2743_dprA_T0,0.524017002
2743_dprA_T0,0.528646732
2743_dprA_T20,0.436617961
2743_dprA_T20,0.505361342
2743_dprA_T20,0.472627065
2743_dprA_T20_CSP,0.434267466
2743_dprA_T20_CSP,0.471356841
2743_dprA_T20_CSP,0.414203307
2743_dprA_T120,0.542258857
2743_dprA_T120,0.50805862
2743_dprA_T120,0.524178824
2743_dprA_T120_CSP,0.300174982
2743_dprA_T120_CSP,0.362653394
2743_dprA_T120_CSP,0.372557452
2743_dprA_T60,0.884510809
2743_dprA_T60,0.862672117
2743_dprA_T60,0.835219073
2743_dprA_T60_CSP,0.541423237
2743_dprA_T60_CSP,0.614977596
2743_dprA_T60_CSP,0.577974466
2743_dprA_T60,0.817733315
2743_dprA_T60,0.967891483
2743_dprA_T60,0.867756493
2743_dprA_T60_CSP,0.885635491
2743_dprA_T60_CSP,0.856058369
2743_dprA_T60_CSP,0.773866876
2743_dprA_T0,2.358237315
2743_dprA_T0,2.58942111
2743_dprA_T0,2.678626899
2743_dprA_T20,2.16281829
2743_dprA_T20,2.587204893
2743_dprA_T20,2.117929225
2743_dprA_T60,2.360951981
2743_dprA_T60,2.176025963
2743_dprA_T60,2.884621728
2743_dprA_T120,2.643487557
2743_dprA_T120,2.811999524
2743_dprA_T120,2.759444959
2743_dprA_T20_CSP,2.340832478
2743_dprA_T20_CSP,2.443487818
2743_dprA_T20_CSP,2.346186664
2743_dprA_T60_CSP,1.903295118
2743_dprA_T60_CSP,2.31757711
2743_dprA_T60_CSP,2.432829664
2743_dprA_T120_CSP,1.562827829
2743_dprA_T120_CSP,1.784231424
2743_dprA_T120_CSP,1.760565328
2743_dprA_T20_MMC,2.395029896
2743_dprA_T20_MMC,2.216142087
2743_dprA_T20_MMC,2.538494346
2743_dprA_T60_MMC,2.71649229
2743_dprA_T60_MMC,2.742071177
2743_dprA_T60_MMC,2.663228194
2743_dprA_T120_MMC,4.637226296
2743_dprA_T120_MMC,5.066252858
2743_dprA_T120_MMC,5.063902217
2743_dprA_T0,0.492572711
2743_dprA_T0,0.377017222
2743_dprA_T0,0.384680478
2743_dprA_T20_MMC,0.398196105
2743_dprA_T20_MMC,0.31701165
2743_dprA_T20_MMC,0.295936524
2743_dprA_T60_MMC,0.494976174
2743_dprA_T60_MMC,0.526606655
2743_dprA_T60_MMC,0.518545195
2743_dprA_T120_MMC,1.996430935
2743_dprA_T120_MMC,1.80514974
2743_dprA_T120_MMC,1.486458365
2743_dprA_T20_MMC,0.07267111
2743_dprA_T20_MMC,0.196286035
2743_dprA_T20_MMC,0.159148391
2743_dprA_T60_MMC,0.015398823
2743_dprA_T120_MMC,2.248955636
2743_dprA_T120_MMC,2.452997747
2743_dprA_T120_MMC,0.841114666