OD600,control,control,control,hydrogen_peroxide,hydrogen_peroxide,hydrogen_peroxide,MMC,MMC,MMC,zinc_chloride,zinc_chloride,zinc_chloride,CSP,CSP,CSP,Ca_chloride,Ca_chloride,Ca_chloride
00:00:00,0.159,0.165,0.166,0.171,0.17,0.178,0.178,0.175,0.17,0.168,0.171,0.16,0.177,0.169,0.158,0.167,0.15,0.168
00:30:00,0.196,0.203,0.209,0.204,0.198,0.212,0.214,0.212,0.202,0.202,0.205,0.192,0.208,0.2,0.196,0.2,0.18,0.201
01:00:00,0.249,0.266,0.267,0.259,0.249,0.261,0.274,0.268,0.263,0.26,0.257,0.246,0.26,0.244,0.251,0.258,0.246,0.254
01:30:00,0.344,0.364,0.363,0.36,0.353,0.353,0.352,0.349,0.339,0.34,0.342,0.324,0.335,0.33,0.335,0.346,0.337,0.342
02:00:00,0.456,0.474,0.474,0.46,0.463,0.461,0.407,0.405,0.398,0.417,0.424,0.398,0.434,0.422,0.436,0.435,0.42,0.431
02:30:00,0.496,0.503,0.502,0.508,0.499,0.512,0.476,0.47,0.461,0.453,0.452,0.427,0.502,0.496,0.499,0.458,0.442,0.455
03:00:00,0.508,0.524,0.513,0.52,0.527,0.523,0.474,0.471,0.459,0.442,0.441,0.412,0.512,0.489,0.498,0.456,0.446,0.452
03:30:00,0.529,0.558,0.564,0.574,0.57,0.592,0.467,0.467,0.457,0.446,0.433,0.41,0.519,0.508,0.521,0.488,0.444,0.482
04:00:00,0.537,0.582,0.604,0.593,0.591,0.611,0.476,0.477,0.46,0.491,0.43,0.423,0.548,0.519,0.528,0.517,0.468,0.517
04:30:00,0.571,0.607,0.642,0.617,0.611,0.628,0.493,0.499,0.482,0.537,0.44,0.443,0.548,0.526,0.529,0.579,0.485,0.549
05:00:00,0.577,0.636,0.675,0.641,0.624,0.639,0.504,0.512,0.497,0.57,0.456,0.461,0.569,0.537,0.538,0.612,0.516,0.589
05:30:00,0.605,0.667,0.694,0.654,0.634,0.648,0.504,0.523,0.511,0.59,0.495,0.482,0.59,0.553,0.548,0.635,0.553,0.628
06:00:00,0.609,0.665,0.701,0.665,0.647,0.657,0.508,0.531,0.509,0.594,0.526,0.508,0.6,0.567,0.558,0.65,0.579,0.614
06:30:00,0.609,0.664,0.702,0.668,0.649,0.658,0.519,0.522,0.507,0.601,0.532,0.486,0.606,0.584,0.583,0.658,0.585,0.634
07:00:00,0.597,0.65,0.703,0.671,0.65,0.663,0.534,0.531,0.509,0.593,0.531,0.495,0.618,0.592,0.595,0.663,0.604,0.62
07:30:00,0.613,0.638,0.7,0.677,0.653,0.665,0.555,0.552,0.531,0.593,0.531,0.512,0.642,0.594,0.609,0.676,0.621,0.636
08:00:00,0.609,0.633,0.699,0.673,0.651,0.668,0.571,0.58,0.563,0.587,0.521,0.485,0.624,0.6,0.611,0.676,0.608,0.634
08:30:00,0.605,0.632,0.702,0.676,0.656,0.664,0.576,0.581,0.568,0.581,0.511,0.473,0.646,0.608,0.609,0.68,0.616,0.647
09:00:00,0.609,0.624,0.701,0.677,0.654,0.671,0.565,0.571,0.566,0.572,0.5,0.468,0.637,0.604,0.611,0.681,0.624,0.641
09:30:00,0.601,0.621,0.7,0.67,0.651,0.665,0.552,0.556,0.548,0.556,0.484,0.456,0.65,0.606,0.606,0.679,0.634,0.656
10:00:00,0.618,0.618,0.703,0.673,0.648,0.668,0.548,0.549,0.54,0.549,0.475,0.45,0.646,0.605,0.61,0.679,0.633,0.634
10:30:00,0.612,0.615,0.701,0.676,0.651,0.664,0.54,0.541,0.535,0.532,0.461,0.44,0.631,0.599,0.606,0.681,0.635,0.634
11:00:00,0.607,0.609,0.699,0.672,0.652,0.666,0.532,0.532,0.532,0.515,0.445,0.43,0.64,0.604,0.594,0.681,0.639,0.629
11:30:00,0.603,0.605,0.701,0.668,0.648,0.665,0.523,0.524,0.52,0.499,0.429,0.422,0.661,0.619,0.606,0.686,0.631,0.651
12:00:00,0.604,0.599,0.699,0.666,0.648,0.656,0.514,0.516,0.516,0.477,0.411,0.417,0.66,0.616,0.619,0.683,0.634,0.627
12:30:00,0.607,0.596,0.697,0.662,0.641,0.662,0.508,0.51,0.509,0.454,0.393,0.394,0.659,0.633,0.625,0.687,0.633,0.66
13:00:00,0.603,0.587,0.693,0.666,0.638,0.66,0.504,0.504,0.504,0.438,0.379,0.388,0.653,0.635,0.621,0.685,0.632,0.657
13:30:00,0.597,0.583,0.688,0.658,0.639,0.654,0.5,0.497,0.504,0.418,0.361,0.374,0.655,0.64,0.63,0.684,0.636,0.636
14:00:00,0.599,0.58,0.675,0.654,0.632,0.649,0.49,0.488,0.491,0.399,0.348,0.358,0.653,0.643,0.634,0.678,0.628,0.658
14:30:00,0.587,0.571,0.666,0.649,0.622,0.644,0.489,0.486,0.492,0.383,0.337,0.344,0.66,0.65,0.643,0.677,0.631,0.635
15:00:00,0.578,0.561,0.654,0.64,0.621,0.636,0.487,0.484,0.491,0.37,0.326,0.335,0.663,0.653,0.652,0.675,0.625,0.653
15:30:00,0.579,0.55,0.634,0.632,0.613,0.629,0.482,0.477,0.484,0.356,0.313,0.322,0.66,0.64,0.654,0.675,0.622,0.642
16:00:00,0.56,0.535,0.621,0.622,0.597,0.616,0.477,0.472,0.479,0.341,0.305,0.312,0.654,0.646,0.65,0.666,0.622,0.645
16:30:00,0.544,0.521,0.603,0.61,0.589,0.606,0.475,0.473,0.474,0.33,0.293,0.302,0.653,0.655,0.652,0.668,0.613,0.635
17:00:00,0.535,0.505,0.591,0.599,0.57,0.594,0.472,0.469,0.472,0.319,0.275,0.285,0.656,0.648,0.649,0.659,0.622,0.628
17:30:00,0.519,0.491,0.572,0.579,0.559,0.575,0.468,0.47,0.468,0.308,0.249,0.253,0.649,0.647,0.651,0.662,0.623,0.631
18:00:00,0.502,0.471,0.551,0.565,0.545,0.556,0.462,0.463,0.463,0.299,0.212,0.247,0.639,0.636,0.636,0.654,0.624,0.611
18:30:00,0.481,0.449,0.532,0.544,0.523,0.544,0.458,0.457,0.456,0.296,0.183,0.208,0.628,0.623,0.624,0.648,0.619,0.616
19:00:00,0.472,0.436,0.512,0.531,0.51,0.528,0.452,0.45,0.448,0.29,0.167,0.199,0.611,0.618,0.628,0.637,0.607,0.606
19:30:00,0.451,0.418,0.492,0.515,0.491,0.51,0.443,0.442,0.436,0.291,0.157,0.18,0.598,0.593,0.61,0.627,0.592,0.579
20:00:00,0.431,0.401,0.474,0.498,0.476,0.495,0.43,0.423,0.415,0.277,0.146,0.165,0.582,0.592,0.585,0.593,0.582,0.57
20:30:00,0.42,0.386,0.457,0.478,0.464,0.476,0.411,0.396,0.392,0.215,0.14,0.153,0.567,0.576,0.574,0.59,0.569,0.554