OD600,RMV8-proermB,RMV8-proermB,RMV8-proermB,RMV_intJan_proermB,RMV_intJan_proermB,RMV_intJan_proermB,RMV_Hybrid_proermB,RMV_Hybrid_proermB,RMV_Hybrid_proermB,RMV_Hybrid_intJan_proermB,RMV_Hybrid_intJan_proermB,RMV_Hybrid_intJan_proermB
00:00:00,-0.003,-0.002,-0.002,-0.003,-0.001,-0.001,1.00E-04,2.00E-04,0.001,0.001,0.003,0.004
00:30:00,-0.004,-0.005,-0.005,-0.004,-0.003,-0.002,-0.002,-0.002,-0.001,-8.00E-04,-7.00E-04,3.00E-04
01:00:00,-0.004,-0.005,-0.004,-0.003,-0.002,-0.002,-0.002,-0.002,-4.75E-04,-8.75E-04,-4.75E-04,-5.75E-04
01:30:00,-0.003,-0.005,-0.004,-0.005,-0.003,-0.002,-0.002,-0.001,-0.001,-0.001,-4.25E-04,3.75E-04
02:00:00,-0.003,-0.005,-0.004,-0.004,-0.001,-0.002,-2.25E-04,-0.001,-8.25E-04,-5.25E-04,6.75E-04,7.75E-04
02:30:00,-0.003,-0.004,-0.004,-0.004,-0.002,-0.001,-1.25E-04,-0.001,7.50E-05,2.75E-04,-3.25E-04,3.75E-04
03:00:00,-0.002,-0.003,-0.003,-0.003,-0.001,-6.75E-04,8.25E-04,-7.50E-05,6.25E-04,0.002,0.003,0.003
03:30:00,-0.002,-0.003,-0.002,-0.002,-0.001,-5.50E-04,0.002,1.50E-04,0.002,0.003,0.004,0.004
04:00:00,-0.001,-0.002,-0.002,-0.003,2.25E-04,2.25E-04,0.003,0.003,0.003,0.005,0.007,0.007
04:30:00,-4.50E-04,1.50E-04,-6.50E-04,-4.50E-04,0.002,0.002,0.008,0.006,0.007,0.012,0.012,0.011
05:00:00,0.004,0.003,0.004,0.003,0.005,0.007,0.013,0.011,0.013,0.023,0.022,0.02
05:30:00,0.007,0.008,0.009,0.008,0.01,0.012,0.021,0.02,0.021,0.037,0.033,0.038
06:00:00,0.015,0.014,0.017,0.014,0.017,0.019,0.034,0.033,0.034,0.063,0.055,0.054
06:30:00,0.025,0.025,0.028,0.024,0.029,0.03,0.052,0.048,0.05,0.09,0.083,0.076
07:00:00,0.04,0.041,0.047,0.039,0.045,0.047,0.08,0.074,0.076,0.121,0.106,0.098
07:30:00,0.063,0.067,0.076,0.062,0.071,0.073,0.125,0.116,0.12,0.164,0.144,0.145
08:00:00,0.099,0.106,0.119,0.094,0.107,0.107,0.196,0.179,0.185,0.225,0.19,0.191
08:30:00,0.152,0.167,0.186,0.141,0.156,0.156,0.292,0.269,0.28,0.327,0.268,0.24
09:00:00,0.226,0.252,0.274,0.202,0.218,0.222,0.378,0.366,0.375,0.419,0.352,0.314
09:30:00,0.32,0.327,0.335,0.277,0.294,0.299,0.457,0.457,0.456,0.487,0.463,0.476
10:00:00,0.371,0.351,0.385,0.317,0.346,0.344,0.485,0.493,0.498,0.509,0.498,0.5
10:30:00,0.46,0.418,0.445,0.37,0.405,0.398,0.479,0.487,0.487,0.496,0.488,0.491
11:00:00,0.506,0.462,0.479,0.418,0.453,0.445,0.476,0.482,0.473,0.485,0.477,0.475
11:30:00,0.511,0.482,0.491,0.444,0.468,0.468,0.468,0.473,0.463,0.482,0.469,0.468
12:00:00,0.508,0.48,0.48,0.446,0.473,0.478,0.462,0.465,0.46,0.474,0.461,0.451
12:30:00,0.51,0.462,0.467,0.436,0.467,0.471,0.457,0.462,0.453,0.471,0.451,0.456
13:00:00,0.506,0.455,0.457,0.425,0.464,0.468,0.453,0.457,0.454,0.469,0.449,0.454
13:30:00,0.5,0.454,0.454,0.415,0.462,0.467,0.455,0.457,0.444,0.469,0.442,0.454
14:00:00,0.493,0.452,0.449,0.41,0.457,0.464,0.453,0.456,0.445,0.467,0.44,0.455
14:30:00,0.491,0.452,0.452,0.411,0.461,0.47,0.449,0.451,0.437,0.468,0.441,0.458
15:00:00,0.505,0.454,0.45,0.41,0.464,0.47,0.445,0.448,0.434,0.47,0.437,0.464
15:30:00,0.509,0.453,0.454,0.41,0.464,0.475,0.439,0.433,0.429,0.461,0.442,0.464
16:00:00,0.498,0.456,0.456,0.411,0.467,0.473,0.428,0.432,0.414,0.465,0.436,0.461
16:30:00,0.517,0.454,0.457,0.408,0.469,0.48,0.419,0.419,0.401,0.456,0.429,0.453
17:00:00,0.516,0.454,0.461,0.41,0.472,0.482,0.417,0.412,0.395,0.459,0.43,0.471
17:30:00,0.526,0.455,0.463,0.408,0.476,0.478,0.418,0.398,0.392,0.451,0.42,0.467
18:00:00,0.525,0.451,0.463,0.409,0.475,0.481,0.407,0.389,0.382,0.443,0.417,0.464
18:30:00,0.518,0.448,0.466,0.411,0.478,0.478,0.395,0.386,0.377,0.434,0.407,0.455
19:00:00,0.526,0.452,0.47,0.41,0.48,0.481,0.386,0.373,0.371,0.424,0.41,0.466
19:30:00,0.504,0.449,0.47,0.417,0.48,0.482,0.376,0.371,0.367,0.415,0.405,0.45
20:00:00,0.522,0.45,0.468,0.415,0.482,0.482,0.37,0.363,0.364,0.402,0.399,0.447
20:30:00,0.52,0.447,0.469,0.416,0.483,0.478,0.361,0.359,0.36,0.392,0.394,0.446