OD600,2743 ivrtvr_noGD,2743 ivrtvr_noGD,2743 ivrtvr_noGD,2743 ivrtvr_withGD,2743 ivrtvr_withGD,2743 ivrtvr_withGD,2743 ivrtvr_noGD_Mitomycin,2743 ivrtvr_noGD_Mitomycin,2743 ivrtvr_withGD_Mitomycin,2743 ivrtvr_withGD_Mitomycin,2743 ivrtvr_withGD_Mitomycin
00:00:00,0.101,0.115,0.1,0.097,0.097,0.104,0.098,0.101,0.097,0.096,0.101
00:30:00,0.111,0.116,0.112,0.106,0.109,0.111,0.106,0.106,0.105,0.103,0.107
01:00:00,0.123,0.132,0.128,0.12,0.124,0.124,0.122,0.122,0.115,0.12,0.123
01:30:00,0.166,0.169,0.17,0.156,0.167,0.171,0.138,0.131,0.125,0.131,0.14
02:00:00,0.231,0.234,0.242,0.226,0.237,0.247,0.146,0.133,0.131,0.13,0.145
02:30:00,0.315,0.33,0.342,0.315,0.348,0.355,0.129,0.109,0.112,0.11,0.126
03:00:00,0.402,0.422,0.436,0.419,0.454,0.455,0.118,0.102,0.101,0.102,0.118
03:30:00,0.438,0.442,0.465,0.45,0.459,0.465,0.11,0.094,0.091,0.092,0.111
04:00:00,0.475,0.462,0.476,0.462,0.467,0.468,0.106,0.091,0.089,0.091,0.112
04:30:00,0.499,0.493,0.506,0.484,0.491,0.485,0.102,0.086,0.087,0.087,0.11
05:00:00,0.523,0.524,0.525,0.512,0.519,0.518,0.102,0.086,0.087,0.088,0.112
05:30:00,0.566,0.555,0.556,0.542,0.539,0.539,0.101,0.083,0.087,0.085,0.109
06:00:00,0.581,0.571,0.572,0.559,0.551,0.557,0.1,0.081,0.085,0.084,0.107
06:30:00,0.612,0.584,0.579,0.573,0.562,0.571,0.098,0.082,0.086,0.083,0.106
07:00:00,0.601,0.586,0.591,0.568,0.563,0.579,0.097,0.082,0.087,0.082,0.105
07:30:00,0.593,0.582,0.593,0.564,0.566,0.567,0.1,0.081,0.086,0.08,0.1
08:00:00,0.597,0.587,0.588,0.566,0.565,0.577,0.098,0.08,0.086,0.08,0.101
08:30:00,0.605,0.589,0.597,0.566,0.574,0.574,0.098,0.078,0.086,0.079,0.099
09:00:00,0.575,0.587,0.598,0.565,0.582,0.574,0.097,0.08,0.086,0.08,0.101
09:30:00,0.607,0.591,0.607,0.581,0.572,0.585,0.099,0.079,0.088,0.082,0.104
10:00:00,0.606,0.594,0.592,0.58,0.586,0.574,0.101,0.079,0.087,0.079,0.1
10:30:00,0.597,0.602,0.607,0.579,0.588,0.575,0.101,0.078,0.084,0.079,0.097
11:00:00,0.602,0.594,0.606,0.573,0.581,0.574,0.1,0.076,0.085,0.08,0.102
11:30:00,0.6,0.587,0.598,0.57,0.583,0.569,0.101,0.075,0.083,0.078,0.106
12:00:00,0.589,0.593,0.584,0.57,0.577,0.576,0.1,0.073,0.082,0.077,0.099
12:30:00,0.575,0.594,0.585,0.574,0.575,0.567,0.098,0.072,0.082,0.076,0.101
13:00:00,0.584,0.601,0.575,0.558,0.576,0.568,0.096,0.07,0.081,0.075,0.1
13:30:00,0.578,0.598,0.557,0.56,0.57,0.56,0.095,0.068,0.082,0.075,0.095
14:00:00,0.572,0.576,0.553,0.537,0.564,0.556,0.092,0.065,0.084,0.074,0.093
14:30:00,0.563,0.556,0.539,0.519,0.562,0.552,0.092,0.064,0.082,0.073,0.09
15:00:00,0.552,0.546,0.518,0.493,0.549,0.538,0.092,0.062,0.08,0.073,0.089
15:30:00,0.54,0.54,0.497,0.485,0.538,0.519,0.095,0.063,0.081,0.07,0.09
16:00:00,0.518,0.511,0.487,0.47,0.522,0.516,0.13,0.063,0.081,0.071,0.091
16:30:00,0.508,0.489,0.47,0.455,0.508,0.497,0.2,0.059,0.079,0.068,0.084
17:00:00,0.472,0.472,0.45,0.448,0.502,0.484,0.255,0.059,0.081,0.065,0.079
17:30:00,0.462,0.445,0.431,0.427,0.465,0.462,0.297,0.059,0.081,0.064,0.076
18:00:00,0.443,0.425,0.408,0.411,0.446,0.443,0.31,0.056,0.081,0.062,0.071