OD600,R6x_control,R6x_control,R6x_control,R6x_mitomycin,R6x_mitomycin,R6x_mitomycin
00:00:00,0.124,0.195,0.217,0.138,0.223,0.218
00:30:00,0.158,0.17,0.175,0.171,0.172,0.168
01:00:00,0.215,0.231,0.236,0.242,0.238,0.238
01:30:00,0.309,0.341,0.36,0.35,0.35,0.35
02:00:00,0.408,0.461,0.483,0.449,0.453,0.452
02:30:00,0.489,0.535,0.558,0.532,0.527,0.513
03:00:00,0.459,0.538,0.543,0.521,0.524,0.51
03:30:00,0.448,0.514,0.544,0.495,0.505,0.511
04:00:00,0.463,0.508,0.52,0.502,0.495,0.491
04:30:00,0.448,0.5,0.515,0.466,0.486,0.479
05:00:00,0.456,0.491,0.502,0.464,0.472,0.467
05:30:00,0.459,0.489,0.498,0.464,0.459,0.458
06:00:00,0.456,0.483,0.493,0.448,0.456,0.44
06:30:00,0.448,0.472,0.49,0.452,0.453,0.449
07:00:00,0.45,0.478,0.49,0.444,0.447,0.445
07:30:00,0.453,0.477,0.489,0.444,0.445,0.435
08:00:00,0.456,0.473,0.483,0.435,0.441,0.437
08:30:00,0.452,0.468,0.485,0.436,0.439,0.435
09:00:00,0.467,0.468,0.486,0.435,0.434,0.426
09:30:00,0.461,0.471,0.488,0.428,0.435,0.427
10:00:00,0.469,0.478,0.491,0.429,0.433,0.424
10:30:00,0.475,0.471,0.49,0.423,0.43,0.425
11:00:00,0.473,0.477,0.482,0.42,0.425,0.418
11:30:00,0.47,0.48,0.484,0.415,0.424,0.413
12:00:00,0.477,0.472,0.485,0.409,0.421,0.408
12:30:00,0.481,0.48,0.481,0.403,0.413,0.405
13:00:00,0.475,0.481,0.488,0.394,0.405,0.396
13:30:00,0.479,0.479,0.483,0.377,0.392,0.387
14:00:00,0.481,0.481,0.475,0.366,0.38,0.371
14:30:00,0.49,0.468,0.475,0.338,0.349,0.347
15:00:00,0.478,0.47,0.473,0.297,0.309,0.305
15:30:00,0.459,0.462,0.467,0.258,0.259,0.259
16:00:00,0.403,0.432,0.451,0.228,0.223,0.227
16:30:00,0.29,0.362,0.397,0.21,0.209,0.21
17:00:00,0.201,0.265,0.288,0.202,0.198,0.2
17:30:00,0.168,0.205,0.216,0.192,0.189,0.192
18:00:00,0.157,0.176,0.183,0.192,0.186,0.189
18:30:00,0.151,0.162,0.168,0.192,0.186,0.188
19:00:00,0.15,0.156,0.165,0.189,0.184,0.185
19:30:00,0.15,0.153,0.16,0.185,0.18,0.181
20:00:00,0.146,0.151,0.158,0.188,0.183,0.181
20:30:00,0.152,0.152,0.159,0.184,0.18,0.182