OD600,control,control,control,1mM_IPTG,1mM_IPTG,1mM_IPTG,3mM_IPTG,3mM_IPTG,3mM_IPTG,6mM_IPTG,6mM_IPTG,6mM_IPTG
00:00:00,0.158,0.164,0.169,0.17,0.166,0.166,0.165,0.167,0.162,0.169,0.177,0.163
00:30:00,0.185,0.193,0.191,0.199,0.192,0.194,0.193,0.192,0.187,0.196,0.199,0.194
01:00:00,0.237,0.229,0.249,0.252,0.241,0.246,0.243,0.239,0.242,0.244,0.251,0.248
01:30:00,0.301,0.31,0.317,0.321,0.32,0.32,0.322,0.318,0.315,0.325,0.313,0.321
02:00:00,0.351,0.368,0.378,0.375,0.38,0.378,0.378,0.373,0.362,0.383,0.362,0.369
02:30:00,0.336,0.359,0.364,0.37,0.376,0.365,0.363,0.371,0.356,0.369,0.358,0.375
03:00:00,0.345,0.361,0.367,0.372,0.377,0.375,0.376,0.373,0.362,0.37,0.36,0.388
03:30:00,0.342,0.351,0.366,0.367,0.372,0.369,0.378,0.376,0.36,0.377,0.357,0.377
04:00:00,0.352,0.358,0.375,0.368,0.381,0.369,0.369,0.368,0.349,0.369,0.345,0.379
04:30:00,0.354,0.366,0.371,0.366,0.385,0.38,0.37,0.378,0.351,0.377,0.344,0.372
05:00:00,0.352,0.37,0.385,0.371,0.387,0.377,0.376,0.373,0.352,0.38,0.342,0.375
05:30:00,0.355,0.363,0.386,0.375,0.379,0.382,0.377,0.372,0.353,0.381,0.347,0.368
06:00:00,0.365,0.365,0.377,0.381,0.375,0.372,0.374,0.369,0.356,0.385,0.356,0.369
06:30:00,0.361,0.362,0.378,0.38,0.366,0.374,0.368,0.369,0.361,0.376,0.36,0.358
07:00:00,0.347,0.358,0.365,0.374,0.36,0.367,0.366,0.363,0.362,0.37,0.368,0.36
07:30:00,0.349,0.366,0.361,0.375,0.361,0.364,0.371,0.367,0.354,0.368,0.352,0.358
08:00:00,0.354,0.352,0.368,0.374,0.355,0.363,0.359,0.361,0.354,0.371,0.352,0.353
08:30:00,0.348,0.349,0.364,0.378,0.353,0.359,0.354,0.357,0.343,0.362,0.36,0.352
09:00:00,0.343,0.358,0.371,0.372,0.351,0.357,0.349,0.354,0.335,0.36,0.346,0.337
09:30:00,0.347,0.357,0.373,0.364,0.351,0.355,0.35,0.351,0.346,0.358,0.344,0.347
10:00:00,0.341,0.355,0.375,0.366,0.352,0.358,0.349,0.353,0.341,0.356,0.352,0.342
10:30:00,0.339,0.353,0.359,0.364,0.34,0.354,0.348,0.348,0.328,0.355,0.335,0.335
11:00:00,0.34,0.355,0.359,0.357,0.344,0.344,0.332,0.347,0.324,0.348,0.315,0.335
11:30:00,0.341,0.352,0.359,0.358,0.346,0.347,0.334,0.338,0.322,0.344,0.311,0.333
12:00:00,0.34,0.352,0.357,0.356,0.339,0.344,0.329,0.336,0.316,0.338,0.294,0.323
12:30:00,0.334,0.344,0.356,0.349,0.335,0.333,0.324,0.33,0.319,0.334,0.293,0.33
13:00:00,0.328,0.342,0.351,0.338,0.329,0.328,0.32,0.324,0.31,0.328,0.296,0.318
13:30:00,0.335,0.334,0.342,0.334,0.331,0.326,0.309,0.327,0.303,0.325,0.276,0.32
14:00:00,0.332,0.334,0.337,0.331,0.323,0.318,0.307,0.317,0.301,0.325,0.269,0.312
14:30:00,0.323,0.328,0.336,0.323,0.316,0.317,0.3,0.309,0.301,0.317,0.271,0.308
15:00:00,0.318,0.319,0.327,0.318,0.311,0.309,0.291,0.303,0.288,0.311,0.263,0.301
15:30:00,0.31,0.316,0.325,0.311,0.305,0.301,0.287,0.299,0.283,0.3,0.254,0.296
16:00:00,0.31,0.308,0.313,0.3,0.297,0.292,0.276,0.288,0.276,0.292,0.251,0.284
16:30:00,0.301,0.303,0.308,0.29,0.29,0.282,0.266,0.28,0.268,0.285,0.247,0.275
17:00:00,0.293,0.292,0.297,0.28,0.275,0.277,0.256,0.274,0.259,0.279,0.235,0.265
17:30:00,0.281,0.287,0.293,0.267,0.267,0.268,0.254,0.268,0.254,0.271,0.235,0.263
18:00:00,0.279,0.276,0.283,0.26,0.258,0.258,0.245,0.256,0.247,0.26,0.229,0.248
18:30:00,0.271,0.269,0.275,0.248,0.247,0.249,0.237,0.248,0.234,0.251,0.221,0.242
19:00:00,0.261,0.259,0.269,0.239,0.239,0.242,0.23,0.238,0.229,0.242,0.216,0.235
19:30:00,0.254,0.25,0.257,0.232,0.231,0.232,0.222,0.232,0.223,0.236,0.211,0.226