mutants,BCbyRpoA
2743_zncat_T0,1.695433446
2743_zncat_T0,1.319405928
2743_zncat_T0,1.774035587
2743_zncat_T20,1.673996751
2743_zncat_T20,1.541768774
2743_zncat_T20,1.489651142
2743_zncat_T20_CSP,1.386484963
2743_zncat_T20_CSP,1.391853286
2743_zncat_T20_CSP,1.042378305
2743_zncat_T20_MMC,1.356009571
2743_zncat_T20_MMC,1.17841342
2743_zncat_T20_MMC,1.32929827
2743_zncat_T60,1.645697207
2743_zncat_T60,1.406071217
2743_zncat_T60,1.650374177
2743_zncat_T60_CSP,1.342057167
2743_zncat_T60_CSP,1.413153504
2743_zncat_T60_CSP,0.903223482
2743_zncat_T60_MMC,1.58651011
2743_zncat_T60_MMC,1.574272986
2743_zncat_T60_MMC,1.500754681
2743_zncat_T120,1.77484123
2743_zncat_T120,1.575144636
2743_zncat_T120,1.767017601
2743_zncat_T120_CSP,1.355104386
2743_zncat_T120_CSP,1.319774343
2743_zncat_T120_CSP,1.150901839
2743_zncat_T120_MMC,2.527626891
2743_zncat_T120_MMC,4.393977992
2743_zncat_T120_MMC,1.950004969
2743_zncat_T0,0.249479266
2743_zncat_T0,0.255574206
2743_zncat_T0,0.243446302
2743_zncat_T20,0.211678766
2743_zncat_T20,0.228728911
2743_zncat_T20,0.206244276
2743_zncat_T20_CSP,0.215344644
2743_zncat_T20_CSP,0.22165735
2743_zncat_T20_CSP,0.225146499
2743_zncat_T20_MMC,0.236673761
2743_zncat_T20_MMC,0.196005313
2743_zncat_T20_MMC,0.2050205
2743_zncat_T60,0.212536071
2743_zncat_T60,0.215719952
2743_zncat_T60,0.214803463
2743_zncat_T60_CSP,0.184148085
2743_zncat_T60_CSP,0.181811253
2743_zncat_T60_CSP,0.186458572
2743_zncat_T60_MMC,0.235611063
2743_zncat_T60_MMC,0.208458181
2743_zncat_T60_MMC,0.212634781
2743_zncat_T120,0.249351969
2743_zncat_T120,0.262056659
2743_zncat_T120,0.258063134
2743_zncat_T120_CSP,0.228543229
2743_zncat_T120_CSP,0.255037223
2743_zncat_T120_CSP,0.263256147
2743_zncat_T120_MMC,0.368330215
2743_zncat_T120_MMC,0.458486815
2743_zncat_T120_MMC,0.422583892
2743_zncat_T0,0.465567364
2743_zncat_T0,0.685419871
2743_zncat_T20,0.333939933
2743_zncat_T20,0.315199209
2743_zncat_T20,0.347787303
2743_zncat_T20_CSP,0.461359493
2743_zncat_T20_CSP,0.364266135
2743_zncat_T20_CSP,0.456709845
2743_zncat_T20_MMC,0.56834689
2743_zncat_T20_MMC,0.572852679
2743_zncat_T20_MMC,0.572390598
2743_zncat_T60,0.45839446
2743_zncat_T60,0.526978546
2743_zncat_T60,0.590313341
2743_zncat_T60_CSP,0.520102225
2743_zncat_T60_CSP,0.53698948
2743_zncat_T60_CSP,0.562007859
2743_zncat_T60_MMC,0.475817011
2743_zncat_T60_MMC,0.492087176
2743_zncat_T60_MMC,0.390435906
2743_zncat_T120,0.402510558
2743_zncat_T120,0.535360739
2743_zncat_T120,0.490419167
2743_zncat_T120_CSP,0.540869522
2743_zncat_T120_CSP,0.542496895
2743_zncat_T120_CSP,0.506674929
2743_zncat_T120_MMC,0.697571189
2743_zncat_T120_MMC,0.876361594
2743_zncat_T120_MMC,0.698720294