mutants,gene,fold_change_MMC
2743_T0,rep,0.993739829
2743_T0,rep,1.012972313
2743_T0,rep,0.993411434
2743_T0,lytA,1.068652478
2743_T0,lytA,0.955338518
2743_T0,lytA,0.979505296
2743_T120,rep,0.809622919
2743_T120,rep,0.874138023
2743_T120,rep,0.867436661
2743_T120,lytA,0.433254119
2743_T120,lytA,0.390490712
2743_T120,lytA,0.458429287
2743_T120_MMC,rep,2.874812806
2743_T120_MMC,rep,2.984580155
2743_T120_MMC,rep,2.966507932
2743_T120_MMC,lytA,1.634363387
2743_T120_MMC,lytA,1.547944695
2743_T120_MMC,lytA,1.644402681
2743_T0,rep,0.998145531
2743_T0,rep,0.999323328
2743_T0,rep,1.002534978
2743_T0,lytA,1.045937356
2743_T0,lytA,0.972699338
2743_T0,lytA,0.982913117
2743_T120,rep,1.962061343
2743_T120,rep,2.079614869
2743_T120,rep,1.882180534
2743_T120,lytA,2.295409336
2743_T120,lytA,2.258805419
2743_T120,lytA,2.144763591
2743_T120_MMC,rep,5.899063094
2743_T120_MMC,rep,5.795147382
2743_T120_MMC,rep,5.66999474
2743_T120_MMC,lytA,3.232362063
2743_T120_MMC,lytA,3.185778843
2743_T120_MMC,lytA,3.381751237
2743_T0,lytA,1.06009546
2743_T0,lytA,0.921047622
2743_T0,lytA,1.02416939
2743_T0,rep,0.920486437
2743_T0,rep,0.931469929
2743_T0,rep,1.166312461
2743_T120,lytA,0.852877555
2743_T120,lytA,0.83656078
2743_T120,lytA,0.822953896
2743_T120,rep,0.529169703
2743_T120,rep,0.607297618
2743_T120,rep,0.580440261
2743_T120_MMC,lytA,0.946334155
2743_T120_MMC,lytA,1.042432298
2743_T120_MMC,lytA,0.932744142
2743_T120_MMC,rep,1.281607082
2743_T120_MMC,rep,1.366720206
2743_T120_MMC,rep,1.483805101
2743_zncat_T0,lytA,0.953773646944786
2743_zncat_T0,lytA,1.060539836341970
2743_zncat_T0,lytA,0.988616137144320
2743_zncat_T0,rep,0.977255916552785
2743_zncat_T0,rep,1.039521536054250
2743_zncat_T0,rep,0.984367013851986
2743_zncat_T120,lytA,0.313562337019623
2743_zncat_T120,lytA,0.306361785755515
2743_zncat_T120,lytA,0.296941565937816
2743_zncat_T120,rep,0.178665051261111
2743_zncat_T120,rep,0.171286008826077
2743_zncat_T120,rep,0.164417015766108
2743_zncat_T120_MMC,lytA,2.481900427018060
2743_zncat_T120_MMC,lytA,2.481398445873090
2743_zncat_T120_MMC,lytA,2.485709602208770
2743_zncat_T120_MMC,rep,2.175233151503120
2743_zncat_T120_MMC,rep,1.998696860427060
2743_zncat_T120_MMC,rep,1.866798354927870
2743_zncat_T0,lytA,0.977531152152336
2743_zncat_T0,lytA,1.026395117084100
2743_zncat_T0,lytA,0.996675236596014
2743_zncat_T0,rep,1.008201216241710
2743_zncat_T0,rep,1.034805964919310
2743_zncat_T0,rep,0.958506379791212
2743_zncat_T120,lytA,2.644334180564150
2743_zncat_T120,lytA,2.743211504883590
2743_zncat_T120,lytA,2.553425838833000
2743_zncat_T120,rep,3.659375061954250
2743_zncat_T120,rep,4.018822878686410
2743_zncat_T120,rep,3.677173527334990
2743_zncat_T120_MMC,lytA,3.308346764042280
2743_zncat_T120_MMC,lytA,3.017347363591180
2743_zncat_T120_MMC,lytA,3.126987567438950
2743_zncat_T120_MMC,rep,3.037029943565830
2743_zncat_T120_MMC,rep,3.187257539133860
2743_zncat_T120_MMC,rep,3.080949294307240
2743_zncat_T0,lytA,1.091696366487290
2743_zncat_T0,lytA,0.807028201481859
2743_zncat_T0,lytA,1.135039946509980
2743_zncat_T0,rep,0.961946693719170
2743_zncat_T0,rep,1.037453863663100
2743_zncat_T0,rep,1.002027468878420
2743_zncat_T120,lytA,0.887206032226182
2743_zncat_T120,lytA,0.959241646774295
2743_zncat_T120,lytA,0.781950523138996
2743_zncat_T120,rep,1.018394558398590
2743_zncat_T120,rep,1.012814296589510
2743_zncat_T120,rep,1.019439894938370
2743_zncat_T120_MMC,lytA,2.770115071581440
2743_zncat_T120_MMC,lytA,3.312688496501460
2743_zncat_T120_MMC,lytA,2.897577521608820
2743_zncat_T120_MMC,rep,3.968610868003030
2743_zncat_T120_MMC,rep,3.854533031568980
2743_zncat_T120_MMC,rep,3.742581312027250