mutants,repbyrpoA
RMV8_intcat_T0,0.983184773
RMV8_intcat_T0,0.985451592
RMV8_intcat_T0,1.006709132
RMV8_intcat_T20,1.027357116
RMV8_intcat_T20,0.996689975
RMV8_intcat_T60,0.948734253
RMV8_intcat_T60,0.938536731
RMV8_intcat_T60,0.949136621
RMV8_intcat_T120,0.421762029
RMV8_intcat_T120,0.683404437
RMV8_intcat_T20_CSP,0.964220484
RMV8_intcat_T20_CSP,1.008650769
RMV8_intcat_T20_CSP,0.973088242
RMV8_intcat_T60_CSP,0.923187907
RMV8_intcat_T60_CSP,0.902482043
RMV8_intcat_T60_CSP,0.852966641
RMV8_intcat_T120_CSP,1.086638154
RMV8_intcat_T120_CSP,1.161554055
RMV8_intcat_T120_CSP,1.059534631
RMV8_intcat_T20_MMC,1.091664805
RMV8_intcat_T20_MMC,0.77513751
RMV8_intcat_T20_MMC,1.0396895
RMV8_intcat_T60_MMC,1.054540159
RMV8_intcat_T60_MMC,1.055394923
RMV8_intcat_T60_MMC,0.942043629
RMV8_intcat_T120_MMC,1.115812429
RMV8_intcat_T120_MMC,0.932672183
RMV8_intcat_T120_MMC,1.052036175
RMV8_intcat_T0,1.30998202
RMV8_intcat_T0,1.323234789
RMV8_intcat_T0,1.270446787
RMV8_intcat_T20,1.043684204
RMV8_intcat_T20,1.005302616
RMV8_intcat_T20,1.074539824
RMV8_intcat_T60,1.141094807
RMV8_intcat_T60,1.117436072
RMV8_intcat_T60,1.210796298
RMV8_intcat_T120,0.927831386
RMV8_intcat_T120,0.910331835
RMV8_intcat_T120,0.895838942
RMV8_intcat_T20_CSP,1.114232918
RMV8_intcat_T20_CSP,1.126449298
RMV8_intcat_T20_CSP,1.174267385
RMV8_intcat_T60_CSP,1.203975675
RMV8_intcat_T60_CSP,1.116128896
RMV8_intcat_T60_CSP,1.158717571
RMV8_intcat_T120_CSP,1.411118083
RMV8_intcat_T120_CSP,1.289421229
RMV8_intcat_T120_CSP,1.413668405
RMV8_intcat_T20_MMC,1.005755105
RMV8_intcat_T20_MMC,0.999300745
RMV8_intcat_T20_MMC,1.018764562
RMV8_intcat_T60_MMC,1.181638803
RMV8_intcat_T60_MMC,1.209483488
RMV8_intcat_T60_MMC,1.201282873
RMV8_intcat_T120_MMC,1.166668988
RMV8_intcat_T120_MMC,1.26642647
RMV8_intcat_T120_MMC,1.244581168