OD600,control,control,control,MMC,MMC,MMC,control+IPTG,control+IPTG,control+IPTG,MMC+IPTG,MMC+IPTG,MMC+IPTG
00:00:00,0.106,0.124,0.107,0.101,0.114,0.109,0.1,0.11,0.108,0.112,0.117,0.108
00:30:00,0.13,0.133,0.132,0.124,0.135,0.128,0.123,0.132,0.131,0.132,0.134,0.133
01:00:00,0.148,0.155,0.157,0.147,0.16,0.151,0.147,0.156,0.156,0.159,0.155,0.157
01:30:00,0.19,0.205,0.204,0.18,0.198,0.194,0.191,0.201,0.201,0.189,0.185,0.195
02:00:00,0.265,0.27,0.274,0.217,0.244,0.231,0.26,0.269,0.264,0.203,0.196,0.206
02:30:00,0.349,0.358,0.367,0.234,0.253,0.24,0.348,0.351,0.343,0.167,0.153,0.162
03:00:00,0.372,0.383,0.386,0.223,0.24,0.235,0.373,0.379,0.381,0.138,0.121,0.124
03:30:00,0.379,0.395,0.403,0.207,0.226,0.215,0.399,0.404,0.399,0.122,0.105,0.101
04:00:00,0.382,0.426,0.407,0.191,0.202,0.193,0.402,0.409,0.404,0.116,0.097,0.09
04:30:00,0.397,0.423,0.411,0.182,0.195,0.186,0.399,0.409,0.406,0.111,0.113,0.084
05:00:00,0.422,0.421,0.414,0.176,0.188,0.18,0.402,0.413,0.414,0.106,0.116,0.084
05:30:00,0.437,0.425,0.419,0.169,0.181,0.171,0.408,0.419,0.414,0.106,0.11,0.09
06:00:00,0.454,0.428,0.424,0.164,0.177,0.169,0.408,0.421,0.42,0.103,0.109,0.09
06:30:00,0.47,0.426,0.426,0.157,0.17,0.163,0.411,0.424,0.424,0.103,0.118,0.087
07:00:00,0.457,0.429,0.428,0.151,0.165,0.154,0.415,0.428,0.42,0.104,0.12,0.086
07:30:00,0.464,0.432,0.431,0.145,0.159,0.15,0.414,0.429,0.422,0.103,0.127,0.081
08:00:00,0.458,0.437,0.435,0.14,0.152,0.146,0.414,0.431,0.43,0.101,0.135,0.075
08:30:00,0.471,0.435,0.437,0.135,0.147,0.14,0.416,0.432,0.431,0.098,0.143,0.073
09:00:00,0.464,0.439,0.436,0.128,0.14,0.133,0.414,0.431,0.433,0.097,0.148,0.073
09:30:00,0.462,0.439,0.435,0.124,0.136,0.128,0.415,0.431,0.433,0.095,0.153,0.069
10:00:00,0.459,0.435,0.435,0.119,0.128,0.122,0.41,0.429,0.433,0.095,0.155,0.069
10:30:00,0.455,0.436,0.435,0.114,0.124,0.117,0.41,0.428,0.427,0.094,0.147,0.07
11:00:00,0.46,0.43,0.431,0.112,0.119,0.113,0.407,0.424,0.428,0.093,0.129,0.069
11:30:00,0.454,0.428,0.43,0.107,0.115,0.108,0.401,0.421,0.424,0.092,0.103,0.068
12:00:00,0.458,0.426,0.428,0.105,0.112,0.105,0.4,0.42,0.425,0.094,0.096,0.069
12:30:00,0.454,0.42,0.424,0.101,0.106,0.099,0.398,0.418,0.422,0.088,0.09,0.071
13:00:00,0.45,0.421,0.421,0.096,0.103,0.097,0.39,0.407,0.418,0.089,0.088,0.069
13:30:00,0.447,0.418,0.417,0.091,0.1,0.093,0.386,0.405,0.417,0.088,0.086,0.07
14:00:00,0.449,0.414,0.411,0.089,0.095,0.09,0.376,0.397,0.411,0.085,0.085,0.069
14:30:00,0.448,0.414,0.407,0.087,0.093,0.088,0.369,0.39,0.411,0.083,0.084,0.068
15:00:00,0.443,0.407,0.401,0.085,0.09,0.084,0.363,0.383,0.407,0.081,0.081,0.066
15:30:00,0.447,0.405,0.393,0.082,0.088,0.082,0.354,0.374,0.397,0.078,0.079,0.064
16:00:00,0.435,0.401,0.389,0.081,0.088,0.081,0.347,0.364,0.393,0.077,0.077,0.06
16:30:00,0.444,0.401,0.382,0.08,0.086,0.08,0.337,0.355,0.391,0.075,0.075,0.058
17:00:00,0.447,0.395,0.373,0.078,0.085,0.078,0.326,0.344,0.38,0.074,0.071,0.054
17:30:00,0.431,0.388,0.367,0.076,0.083,0.077,0.321,0.335,0.377,0.072,0.068,0.053
18:00:00,0.424,0.386,0.358,0.076,0.083,0.077,0.309,0.324,0.37,0.07,0.066,0.051
18:30:00,0.426,0.379,0.349,0.076,0.081,0.075,0.3,0.314,0.361,0.071,0.065,0.05
19:00:00,0.43,0.374,0.343,0.074,0.081,0.075,0.29,0.304,0.353,0.07,0.063,0.048
19:30:00,0.421,0.372,0.336,0.073,0.081,0.074,0.283,0.292,0.342,0.07,0.062,0.049
20:00:00,0.422,0.36,0.326,0.072,0.078,0.072,0.272,0.283,0.333,0.069,0.061,0.048
20:30:00,0.412,0.359,0.32,0.071,0.078,0.072,0.263,0.273,0.322,0.069,0.062,0.048