mutants,conditions,decrease
RMV8,T60+CSP,4.555613919
RMV8,T60+CSP,0.021300306
RMV8,T60+CSP,4.372483424
RMV8,T60+CSP+GD,5.349016695
RMV8,T60+CSP+GD,4.677062886
RMV8,T60+CSP+GD,5.079583018
RMV8,T60+MMC,4.362198567
RMV8,T60+MMC,3.229085965
RMV8,T60+MMC,1.342268655
RMV8,T60+MMC+GD,1.557513318
RMV8,T60+MMC+GD,4.483256742
RMV8,T60+MMC+GD,6.391212618
comEA_cat,T60+CSP,15.08937218
comEA_cat,T60+CSP,14.74790386
comEA_cat,T60+CSP,13.10838771
comEA_cat,T60+CSP+GD,10.95085056
comEA_cat,T60+CSP+GD,10.5974119
comEA_cat,T60+CSP+GD,7.628078486
comEA_cat,T60+MMC,6.5239537
comEA_cat,T60+MMC,9.770952698
comEA_cat,T60+MMC,10.32972157
comEA_cat,T60+MMC+GD,5.074305412
comEA_cat,T60+MMC+GD,3.801956369
comEA_cat,T60+MMC+GD,8.91195547
prophage_cat,T60+CSP,2.099389847
prophage_cat,T60+CSP,1.334894822
prophage_cat,T60+CSP,0.495199934
prophage_cat,T60+CSP+GD,-5.062769894
prophage_cat,T60+CSP+GD,-1.990833064
prophage_cat,T60+CSP+GD,-0.813543621
prophage_cat,T60+MMC,-0.405183506
prophage_cat,T60+MMC,-3.579328241
prophage_cat,T60+MMC,1.037838043
prophage_cat,T60+MMC+GD,-4.284272562
prophage_cat,T60+MMC+GD,-4.377193939
prophage_cat,T60+MMC+GD,-2.522760428
RMV8,T60+CSP,7.812719314
RMV8,T60+CSP,6.64119202
RMV8,T60+CSP,7.208104525
RMV8,T60+CSP+GD,26.9538224
RMV8,T60+CSP+GD,26.73429479
RMV8,T60+CSP+GD,26.40127359
RMV8,T60+MMC,8.746158854
RMV8,T60+MMC,6.395324766
RMV8,T60+MMC,7.072055331
RMV8,T60+MMC+GD,11.30382338
RMV8,T60+MMC+GD,9.130898508
RMV8,T60+MMC+GD,7.672434318
comEA_cat,T60+CSP,5.979500565
comEA_cat,T60+CSP,5.875207324
comEA_cat,T60+CSP,5.825737405
comEA_cat,T60+CSP+GD,7.947802726
comEA_cat,T60+CSP+GD,6.858410512
comEA_cat,T60+CSP+GD,7.737002661
comEA_cat,T60+MMC,9.650680968
comEA_cat,T60+MMC,7.517556791
comEA_cat,T60+MMC,8.716203757
comEA_cat,T60+MMC+GD,7.114515194
comEA_cat,T60+MMC+GD,6.030413078
comEA_cat,T60+MMC+GD,5.023079515
prophage_cat,T60+CSP,4.403965991
prophage_cat,T60+CSP,4.221727695
prophage_cat,T60+CSP,4.416405968
prophage_cat,T60+CSP+GD,1.129224446
prophage_cat,T60+CSP+GD,0.3699808
prophage_cat,T60+CSP+GD,0.30685343
prophage_cat,T60+MMC,3.768259506
prophage_cat,T60+MMC,2.165229591
prophage_cat,T60+MMC,2.221096443
prophage_cat,T60+MMC+GD,1.837317737
prophage_cat,T60+MMC+GD,0.892070819
prophage_cat,T60+MMC+GD,-1.208379522
RMV8,T60+CSP,11.61647029
RMV8,T60+CSP,10.21697915
RMV8,T60+CSP,10.20767049
RMV8,T60+CSP+GD,9.013955014
RMV8,T60+CSP+GD,7.646011695
RMV8,T60+CSP+GD,8.003486542
RMV8,T60+MMC,4.392192319
RMV8,T60+MMC,1.897762205
RMV8,T60+MMC,3.334359306
RMV8,T60+MMC+GD,10.93803153
RMV8,T60+MMC+GD,10.41083693
RMV8,T60+MMC+GD,9.028935502
comEA_cat,T60+CSP,-0.285199754
comEA_cat,T60+CSP,-1.780632587
comEA_cat,T60+CSP,-0.44624991
comEA_cat,T60+CSP+GD,9.070063244
comEA_cat,T60+CSP+GD,7.579813505
comEA_cat,T60+CSP+GD,8.11091561
comEA_cat,T60+MMC,7.727098613
comEA_cat,T60+MMC,3.485135732
comEA_cat,T60+MMC,6.844066871
comEA_cat,T60+MMC+GD,7.294855172
comEA_cat,T60+MMC+GD,5.281337754
comEA_cat,T60+MMC+GD,3.1033137
prophage_cat,T60+CSP,-2.531950406
prophage_cat,T60+CSP,-1.694989873
prophage_cat,T60+CSP,-2.750227401
prophage_cat,T60+CSP+GD,-6.740851449
prophage_cat,T60+CSP+GD,-4.204096523
prophage_cat,T60+CSP+GD,-4.426030934
prophage_cat,T60+MMC,1.260804543
prophage_cat,T60+MMC,-1.439888249
prophage_cat,T60+MMC,0.665994927
prophage_cat,T60+MMC+GD,-2.557591506
prophage_cat,T60+MMC+GD,-3.758336734
prophage_cat,T60+MMC+GD,-4.840936818
comEA_cat,T60+CSP,9.1352071
comEA_cat,T60+CSP,11.96519411
comEA_cat,T60+CSP,8.784959987
comEA_cat,T60+CSP+GD,2.820702324
comEA_cat,T60+CSP+GD,1.037566299
comEA_cat,T60+CSP+GD,1.007144313
comEA_cat,T60+MMC,4.572872231
comEA_cat,T60+MMC,1.827777529
comEA_cat,T60+MMC,1.921669451
comEA_cat,T60+MMC+GD,6.460169211
comEA_cat,T60+MMC+GD,6.728524185
comEA_cat,T60+MMC+GD,3.719383941